gameorder,game_id,lg_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
52867,200705160pho,nba,2007,sas,spurs,88,1679.0616,1687.0789,59.217663,pho,suns,85,1689.4398,1681.4226,0.34628987
52867,200705160pho,nba,2007,pho,suns,85,1689.4398,1681.4226,58.738438,sas,spurs,88,1679.0616,1687.0789,0.65371013
52868,200705170chi,nba,2007,chi,bulls,85,1647.7136,1633.3921,54.436214,det,pistons,95,1650.5002,1664.8218,0.63636118
52868,200705170chi,nba,2007,det,pistons,95,1650.5002,1664.8218,57.297421,chi,bulls,85,1647.7136,1633.3921,0.36363882
52869,200705180njn,nba,2007,njn,nets,72,1555.4233,1538.3933,44.973343,cle,cavaliers,88,1600.1394,1617.1694,0.57889527
52869,200705180njn,nba,2007,cle,cavaliers,88,1600.1394,1617.1694,52.897236,njn,nets,72,1555.4233,1538.3933,0.42110473
52870,200705180sas,nba,2007,pho,suns,106,1681.4226,1675.5211,58.232002,sas,spurs,114,1687.0789,1692.9803,0.35246849
52870,200705180sas,nba,2007,sas,spurs,114,1687.0789,1692.9803,59.711136,pho,suns,106,1681.4226,1675.5211,0.64753151
52871,200705200sas,nba,2007,uta,jazz,100,1617.2198,1612.975,52.493057,sas,spurs,108,1692.9803,1697.2252,0.26663578
52871,200705200sas,nba,2007,sas,spurs,108,1692.9803,1697.2252,60.061913,uta,jazz,100,1617.2198,1612.975,0.73336422
52872,200705210det,nba,2007,cle,cavaliers,76,1617.1694,1614.175,52.608948,det,pistons,79,1664.8218,1667.8162,0.29944223
52872,200705210det,nba,2007,det,pistons,79,1664.8218,1667.8162,57.561081,cle,cavaliers,76,1617.1694,1614.175,0.70055777
52873,200705220sas,nba,2007,sas,spurs,105,1697.2252,1701.5889,60.418835,uta,jazz,96,1612.975,1608.6113,0.74281085
52873,200705220sas,nba,2007,uta,jazz,96,1612.975,1608.6113,52.069992,sas,spurs,105,1697.2252,1701.5889,0.25718915
52874,200705240det,nba,2007,cle,cavaliers,76,1614.175,1611.2649,52.327572,det,pistons,79,1667.8162,1670.7263,0.29226077
52874,200705240det,nba,2007,det,pistons,79,1667.8162,1670.7263,57.815769,cle,cavaliers,76,1614.175,1611.2649,0.70773923
52875,200705260uta,nba,2007,uta,jazz,109,1608.6113,1627.8226,53.912334,sas,spurs,83,1701.5889,1682.3776,0.51010478
52875,200705260uta,nba,2007,sas,spurs,83,1701.5889,1682.3776,58.819775,uta,jazz,109,1608.6113,1627.8226,0.48989522
52876,200705270cle,nba,2007,cle,cavaliers,88,1611.2649,1617.8848,52.965916,det,pistons,82,1670.7263,1664.1064,0.55807638
52876,200705270cle,nba,2007,det,pistons,82,1670.7263,1664.1064,57.234196,cle,cavaliers,88,1611.2649,1617.8848,0.44192362
52877,200705280uta,nba,2007,uta,jazz,79,1627.8226,1614.1769,52.609127,sas,spurs,91,1682.3776,1696.0233,0.56503028
52877,200705280uta,nba,2007,sas,spurs,91,1682.3776,1696.0233,59.962952,uta,jazz,79,1627.8226,1614.1769,0.43496972
52878,200705290cle,nba,2007,det,pistons,87,1664.1064,1658.9741,56.777897,cle,cavaliers,91,1617.8848,1623.0171,0.42321897
52878,200705290cle,nba,2007,cle,cavaliers,91,1617.8848,1623.0171,53.456509,det,pistons,87,1664.1064,1658.9741,0.57678103
52879,200705300sas,nba,2007,uta,jazz,84,1614.1769,1605.4789,51.764713,sas,spurs,109,1696.0233,1704.7213,0.25984156
52879,200705300sas,nba,2007,sas,spurs,109,1696.0233,1704.7213,60.672737,uta,jazz,84,1614.1769,1605.4789,0.74015844
52880,200705310det,nba,2007,cle,cavaliers,109,1623.0171,1630.4581,54.160835,det,pistons,107,1658.9741,1651.5331,0.31375301
52880,200705310det,nba,2007,det,pistons,107,1658.9741,1651.5331,56.108128,cle,cavaliers,109,1623.0171,1630.4581,0.68624699
52881,200706020cle,nba,2007,det,pistons,82,1651.5331,1641.2627,55.168213,cle,cavaliers,98,1630.4581,1640.7285,0.38833195
52881,200706020cle,nba,2007,cle,cavaliers,98,1630.4581,1640.7285,55.118847,det,pistons,82,1651.5331,1641.2627,0.61166805
52882,200706070sas,nba,2007,sas,spurs,85,1704.7213,1709.5416,61.059647,cle,cavaliers,76,1640.7285,1635.9082,0.71991062
52882,200706070sas,nba,2007,cle,cavaliers,76,1640.7285,1635.9082,54.671299,sas,spurs,85,1704.7213,1709.5416,0.28008938
52883,200706100sas,nba,2007,cle,cavaliers,92,1635.9082,1630.7059,54.184143,sas,spurs,103,1709.5416,1714.7439,0.26903695
52883,200706100sas,nba,2007,sas,spurs,103,1709.5416,1714.7439,61.472004,cle,cavaliers,92,1635.9082,1630.7059,0.73096305
52884,200706120cle,nba,2007,cle,cavaliers,72,1630.7059,1624.783,53.624413,sas,spurs,75,1714.7439,1720.6669,0.52295506
52884,200706120cle,nba,2007,sas,spurs,75,1714.7439,1720.6669,61.93486,cle,cavaliers,72,1630.7059,1624.783,0.47704494
52885,200706140cle,nba,2007,sas,spurs,83,1720.6669,1724.7701,62.25135,cle,cavaliers,82,1624.783,1620.6797,0.49407673
52885,200706140cle,nba,2007,cle,cavaliers,82,1624.783,1620.6797,53.233555,sas,spurs,83,1720.6669,1724.7701,0.50592327
