pts,elo_i,elo_n,win_equiv,opp_pts,opp_elo_i,opp_elo_n,forecast
103,1506.0697,1517.4476,42.923073,93,1431.7756,1420.3977,0.46307355
108,1576.197,1571.1094,48.469051,114,1579.1276,1584.2152,0.35605782
114,1579.1276,1584.2152,49.789612,108,1576.197,1571.1094,0.64394218
102,1431.4386,1428.3107,33.654552,117,1639.9178,1643.0458,0.1448288
117,1639.9178,1643.0458,55.451668,102,1431.4386,1428.3107,0.8551712
103,1677.5211,1687.1261,59.33041,94,1573.9114,1564.3064,0.50519466
94,1573.9114,1564.3064,47.777008,103,1677.5211,1687.1261,0.49480537
95,1657.9619,1661.3961,57.108749,75,1431.1432,1427.709,0.86776263
75,1431.1432,1427.709,33.593483,95,1657.9619,1661.3961,0.13223737
102,1483.4476,1477.5278,38.739372,108,1451.3109,1457.2307,0.40356022
108,1451.3109,1457.2307,36.624722,102,1483.4476,1477.5278,0.59643978
92,1337.8719,1334.3954,24.677961,95,1553.3633,1556.8398,0.33965734
95,1553.3633,1556.8398,47.012878,92,1337.8719,1334.3954,0.66034269
100,1338.1626,1328.7291,24.180696,108,1427.6431,1437.0765,0.51513422
108,1427.6431,1437.0765,34.547981,100,1338.1626,1328.7291,0.48486578
85,1440.265,1431.9517,34.024826,103,1483.9248,1492.2382,0.30428565
103,1483.9248,1492.2382,40.280197,85,1440.265,1431.9517,0.69571435
110,1468.6649,1471.163,38.074409,105,1338.6545,1336.1565,0.78985411
105,1338.6545,1336.1565,24.833694,110,1468.6649,1471.163,0.21014589
107,1526.1282,1533.5068,44.599731,103,1670.0385,1662.6598,0.43714234
103,1670.0385,1662.6598,57.220699,107,1526.1282,1533.5068,0.56285763
93,1636.4734,1642.0652,55.361507,83,1590.0833,1584.4915,0.69903135
83,1590.0833,1584.4915,49.817253,93,1636.4734,1642.0652,0.30096865
83,1308.7252,1302.2244,21.934271,89,1453.7949,1460.2958,0.43550086
89,1453.7949,1460.2958,36.942833,83,1308.7252,1302.2244,0.56449914
92,1584.4915,1589.9645,50.363117,87,1420.3977,1414.9247,0.59120607
87,1420.3977,1414.9247,32.304306,92,1584.4915,1589.9645,0.40879396
98,1428.3107,1425.7063,33.390453,105,1584.2152,1586.8196,0.18647116
105,1584.2152,1586.8196,50.04987,98,1428.3107,1425.7063,0.81352884
102,1687.1261,1679.2958,58.66737,111,1643.0458,1650.8761,0.42021286
111,1643.0458,1650.8761,56.165848,102,1687.1261,1679.2958,0.57978714
102,1501.0504,1503.947,41.508305,100,1477.5278,1474.6312,0.67063385
100,1477.5278,1474.6312,38.436584,102,1501.0504,1503.947,0.32936615
83,1556.8398,1539.6221,45.235321,105,1661.3961,1678.6139,0.49344337
