game_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
200703300pho,2007,den,nuggets,108,1522.6641,1516.7877,42.718513,pho,suns,125,1628.9603,1634.8367,0.2336998
200703300sac,2007,sac,kings,101,1462.5507,1455.0013,36.259697,lac,clippers,105,1511.7517,1519.301,0.57258904
200703300sac,2007,lac,clippers,105,1511.7517,1519.301,42.981609,sac,kings,101,1462.5507,1455.0013,0.42741096
200703300sas,2007,uta,jazz,93,1584.0847,1580.7754,49.314659,sas,spurs,102,1722.3271,1725.6365,0.20238829
200703300sas,2007,sas,spurs,102,1722.3271,1725.6365,62.317734,uta,jazz,93,1584.0847,1580.7754,0.79761171
200703300sea,2007,mem,grizzlies,93,1356.6637,1348.4823,25.821697,sea,thunder,120,1461.6757,1469.8571,0.23502636
200703300sea,2007,sea,thunder,120,1461.6757,1469.8571,37.803207,mem,grizzlies,93,1356.6637,1348.4823,0.76497364
200703300was,2007,tor,raptors,123,1526.2247,1535.3672,44.658665,was,wizards,118,1503.4994,1494.3569,0.39059097
200703300was,2007,was,wizards,118,1503.4994,1494.3569,40.366684,tor,raptors,123,1526.2247,1535.3672,0.60940903
200703310chi,2007,chi,bulls,108,1578.7057,1569.7534,48.199974,cle,cavaliers,112,1572.8353,1581.7876,0.64781278
200703310chi,2007,cle,cavaliers,112,1572.8353,1581.7876,49.416416,chi,bulls,108,1578.7057,1569.7534,0.35218722
200703310njn,2007,njn,nets,86,1468.4342,1472.1805,38.045555,phi,sixers,82,1442.3104,1438.5641,0.67393279
200703310njn,2007,phi,sixers,82,1442.3104,1438.5641,34.567776,njn,nets,86,1468.4342,1472.1805,0.32606721
200703310nok,2007,nok,pelicans,103,1458.6083,1464.2162,37.215801,nyk,knicks,94,1426.4744,1420.8665,0.68148917
200703310nok,2007,nyk,knicks,94,1426.4744,1420.8665,32.771053,nok,pelicans,103,1458.6083,1464.2162,0.31851083
200703310por,2007,por,trailblazers,86,1405.3983,1393.765,30.084442,lac,clippers,99,1519.301,1530.9343,0.48000306
200703310por,2007,lac,clippers,99,1519.301,1530.9343,44.196934,por,trailblazers,86,1405.3983,1393.765,0.51999694
200704010atl,2007,atl,hawks,97,1375.9982,1369.7777,27.787046,chi,bulls,105,1569.7534,1575.9739,0.3682577
200704010atl,2007,chi,bulls,105,1569.7534,1575.9739,48.830536,atl,hawks,97,1375.9982,1369.7777,0.6317423
200704010bos,2007,bos,celtics,98,1386.7556,1393.3807,30.046999,cle,cavaliers,96,1581.7876,1575.1625,0.36654955
200704010bos,2007,cle,cavaliers,96,1581.7876,1575.1625,48.748493,bos,celtics,98,1386.7556,1393.3807,0.63345045
200704010det,2007,mia,heat,88,1536.7333,1533.7731,44.492722,det,pistons,94,1652.1802,1655.1404,0.22439909
200704010det,2007,det,pistons,94,1652.1802,1655.1404,56.434021,mia,heat,88,1536.7333,1533.7731,0.77560091
200704010gsw,2007,mem,grizzlies,117,1348.4823,1345.9889,25.596531,gsw,warriors,122,1478.8551,1481.3485,0.20979983
200704010gsw,2007,gsw,warriors,122,1478.8551,1481.3485,39.003685,mem,grizzlies,117,1348.4823,1345.9889,0.79020017
